domain	target_item_ID	target_item	freq_group	norm_freq_SC	norm_freq_RC	GS	DKL	Gemma	Llama	Mistral
economics	economics_1	dólar|NOUN	freq_key	643.7027050094671	80.05873994809731	{'ranking': 32.5, 'value': 0.5417}	{'ranking': 65.0, 'value': 0.6047}	{'ranking': 30.5, 'value': 0.5}	{'ranking': 49.5, 'value': 0.375}	{'ranking': 5.5, 'value': 0.875}
economics	economics_2	sector|NOUN	freq_key	1364.0256281162951	14.960255729756572	{'ranking': 39.5, 'value': 0.4583}	{'ranking': 18.0, 'value': 2.7074}	{'ranking': 41, 'value': 0.375}	{'ranking': 3.5, 'value': 0.75}	{'ranking': 21.5, 'value': 0.625}
economics	economics_3	euro|NOUN	freq_key	3534.746061558262	16.704194111968196	{'ranking': 32.5, 'value': 0.5417}	{'ranking': 9.0, 'value': 3.1132}	{'ranking': 6, 'value': 0.875}	{'ranking': 3.5, 'value': 0.75}	{'ranking': 5.5, 'value': 0.875}
economics	economics_4	coste|NOUN	freq_key	601.8169857829096	6.1294304904202646	{'ranking': 20.5, 'value': 0.7083}	{'ranking': 17.0, 'value': 2.7518}	{'ranking': 20.5, 'value': 0.625}	{'ranking': 30.5, 'value': 0.5}	{'ranking': 21.5, 'value': 0.625}
economics	economics_5	inversión|NOUN	freq_key	1045.4712668145391	10.061840567956278	{'ranking': 3.5, 'value': 0.9583}	{'ranking': 16.0, 'value': 2.7851}	{'ranking': 11.5, 'value': 0.75}	{'ranking': 12.5, 'value': 0.625}	{'ranking': 1.5, 'value': 1.0}
economics	economics_6	pago|NOUN	freq_key	423.77946082213214	18.482327364419262	{'ranking': 23.5, 'value': 0.6667}	{'ranking': 47.0, 'value': 1.552}	{'ranking': 26, 'value': 0.5555555555555556}	{'ranking': 23, 'value': 0.5555555555555556}	{'ranking': 34.5, 'value': 0.4444444444444444}
economics	economics_7	final|NOUN	freq_key	424.243825780298	284.33889475853334	{'ranking': 64.0, 'value': 0.25}	{'ranking': 100, 'value': 0.0109}	{'ranking': 136.5, 'value': -0.25}	{'ranking': 102, 'value': 0.0}	{'ranking': 135, 'value': -0.25}
economics	economics_8	línea|NOUN	freq_key	447.92643864675506	142.54131659312063	{'ranking': 156.5, 'value': -0.4583}	{'ranking': 81.0, 'value': 0.1302}	{'ranking': 182, 'value': -0.5}	{'ranking': 140, 'value': -0.25}	{'ranking': 172, 'value': -0.5}
economics	economics_9	crisis|NOUN	freq_key	330.0706122642686	19.88431704423645	{'ranking': 20.5, 'value': 0.7083}	{'ranking': 51.0, 'value': 1.2353}	{'ranking': 11.5, 'value': 0.75}	{'ranking': 12.5, 'value': 0.625}	{'ranking': 5.5, 'value': 0.875}
economics	economics_10	director|NOUN	freq_key	469.844464672182	73.7668838240397	{'ranking': 39.5, 'value': 0.4583}	{'ranking': 73.0, 'value': 0.4468}	{'ranking': 41, 'value': 0.375}	{'ranking': 12.5, 'value': 0.625}	{'ranking': 12, 'value': 0.75}
economics	economics_11	solución|NOUN	freq_key	250.10696646811348	34.186321521883734	{'ranking': 108.5, 'value': -0.0417}	{'ranking': 70.0, 'value': 0.5376}	{'ranking': 90.5, 'value': 0.0}	{'ranking': 102, 'value': 0.0}	{'ranking': 80.5, 'value': 0.125}
economics	economics_12	zona|NOUN	freq_key	244.2559679952241	138.3097014009895	{'ranking': 85.5, 'value': 0.0833}	{'ranking': 97.0, 'value': 0.0241}	{'ranking': 69.5, 'value': 0.125}	{'ranking': 102, 'value': 0.0}	{'ranking': 80.5, 'value': 0.125}
economics	economics_13	consumo|NOUN	freq_key	236.17601772313873	5.240363864194731	{'ranking': 11.0, 'value': 0.8333}	{'ranking': 29, 'value': 2.1841}	{'ranking': 6, 'value': 0.875}	{'ranking': 12.5, 'value': 0.625}	{'ranking': 21.5, 'value': 0.625}
economics	economics_14	efecto|NOUN	freq_key	256.7938218657014	112.43273334729054	{'ranking': 14.5, 'value': 0.7917}	{'ranking': 86.0, 'value': 0.0582}	{'ranking': 30.5, 'value': 0.5}	{'ranking': 70.5, 'value': 0.25}	{'ranking': 44, 'value': 0.375}
